# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
3.400000000000000000e+01,5.400000000000000000e+02,2.898999999999999773e+02,9.262000000000000455e+02,4.463999999999999773e+02,4.836660000000000000e+05,5.550000000000000000e+02,5.947200000000000264e-01,4.813410000000000188e+00,3.126100000000000101e+00,3.218760000000000066e+00,3.372700000000000031e+00,1.381499999999999950e+00,-7.369999999999999815e-03,1.623320000000000096e+00,1.892999999999999934e-03,2.210000000000000159e-02,6.382999999999999785e-03,5.391969999999999708e+00,4.953632999999999953e+00,3.599399999999999995e-03,3.705500000000000026e-03,3.599399999999999995e-03,3.705500000000000026e-03,1.807999999999999885e-02,1.957999999999999963e+00
3.500000000000000000e+01,5.400000000000000000e+02,2.725000000000000000e+02,9.242999999999999545e+02,4.388000000000000114e+02,4.436550000000000000e+05,5.430000000000000000e+02,5.618900000000000006e-01,4.840480000000000338e+00,3.005570000000000075e+00,3.077059999999999906e+00,3.643299999999999983e+00,1.379699999999999926e+00,-4.750000000000000056e-02,1.639850000000000030e+00,2.132999999999999913e-03,2.580000000000000002e-02,7.772000000000000262e-03,5.391969999999999708e+00,4.953632999999999953e+00,3.599399999999999995e-03,3.705500000000000026e-03,3.599399999999999995e-03,3.705500000000000026e-03,1.807999999999999885e-02,1.957999999999999963e+00
3.600000000000000000e+01,5.400000000000000000e+02,2.571000000000000227e+02,9.227000000000000455e+02,4.318999999999999773e+02,4.093230000000000000e+05,5.340000000000000000e+02,5.324699999999999989e-01,4.861720000000000041e+00,2.894089999999999829e+00,2.949269999999999836e+00,3.910600000000000076e+00,1.377899999999999903e+00,-7.166999999999999760e-02,1.646239999999999926e+00,2.393999999999999861e-03,2.999999999999999889e-02,9.362999999999999795e-03,5.391969999999999708e+00,4.953632999999999953e+00,3.599399999999999995e-03,3.705500000000000026e-03,3.599399999999999995e-03,3.705500000000000026e-03,1.807999999999999885e-02,1.957999999999999963e+00
3.700000000000000000e+01,5.400000000000000000e+02,2.436999999999999886e+02,9.212999999999999545e+02,4.258000000000000114e+02,3.799160000000000000e+05,5.270000000000000000e+02,5.062299999999999578e-01,4.877889999999999837e+00,2.791799999999999837e+00,2.834229999999999805e+00,4.171899999999999942e+00,1.376100000000000101e+00,-8.586000000000000576e-02,1.646619999999999973e+00,2.673000000000000029e-03,3.459999999999999881e-02,1.115200000000000045e-02,5.391969999999999708e+00,4.953632999999999953e+00,3.599399999999999995e-03,3.705500000000000026e-03,3.599399999999999995e-03,3.705500000000000026e-03,1.807999999999999885e-02,1.957999999999999963e+00
3.800000000000000000e+01,5.400000000000000000e+02,2.320000000000000000e+02,9.201000000000000227e+02,4.203000000000000114e+02,3.547980000000000000e+05,5.220000000000000000e+02,4.829700000000000104e-01,4.889090000000000380e+00,2.698409999999999975e+00,2.730630000000000113e+00,4.424199999999999910e+00,1.374300000000000077e+00,-9.461999999999999578e-02,1.646079999999999988e+00,2.967000000000000019e-03,3.960000000000000325e-02,1.312699999999999978e-02,5.391969999999999708e+00,4.953632999999999953e+00,3.599399999999999995e-03,3.705500000000000026e-03,3.599399999999999995e-03,3.705500000000000026e-03,1.807999999999999885e-02,1.957999999999999963e+00
3.900000000000000000e+01,5.400000000000000000e+02,2.218000000000000114e+02,9.191000000000000227e+02,4.155000000000000000e+02,3.333790000000000000e+05,5.200000000000000000e+02,4.624400000000000177e-01,4.895539999999999559e+00,2.613490000000000091e+00,2.637770000000000170e+00,4.664900000000000269e+00,1.372600000000000042e+00,-9.897999999999999854e-02,1.642889999999999961e+00,3.272999999999999868e-03,4.490000000000000241e-02,1.527000000000000059e-02,5.391969999999999708e+00,4.953632999999999953e+00,3.599399999999999995e-03,3.705500000000000026e-03,3.599399999999999995e-03,3.705500000000000026e-03,1.807999999999999885e-02,1.957999999999999963e+00
4.000000000000000000e+01,5.400000000000000000e+02,2.130000000000000000e+02,9.182000000000000455e+02,4.111999999999999886e+02,3.151750000000000000e+05,5.190000000000000000e+02,4.444500000000000117e-01,4.897459999999999702e+00,2.536680000000000046e+00,2.554829999999999934e+00,4.891700000000000159e+00,1.370900000000000007e+00,-1.001900000000000013e-01,1.636879999999999891e+00,3.588000000000000043e-03,5.059999999999999915e-02,1.755100000000000063e-02,5.391969999999999708e+00,4.953632999999999953e+00,3.599399999999999995e-03,3.705500000000000026e-03,3.599399999999999995e-03,3.705500000000000026e-03,1.807999999999999885e-02,1.957999999999999963e+00
4.100000000000000000e+01,5.400000000000000000e+02,2.054000000000000057e+02,9.173999999999999773e+02,4.073999999999999773e+02,2.997350000000000000e+05,5.200000000000000000e+02,4.287699999999999845e-01,4.895340000000000025e+00,2.467530000000000001e+00,2.480989999999999807e+00,5.102599999999999802e+00,1.369299999999999962e+00,-9.940000000000000224e-02,1.628849999999999909e+00,3.906999999999999883e-03,5.639999999999999875e-02,1.993599999999999886e-02,5.568819999999999659e+00,6.387044999999999639e+00,6.397800000000000362e-03,6.746199999999999940e-03,6.397800000000000362e-03,6.746199999999999940e-03,4.182000000000000300e-02,3.738999999999999879e+00
4.200000000000000000e+01,5.400000000000000000e+02,1.988000000000000114e+02,9.167000000000000455e+02,4.041999999999999886e+02,2.866880000000000000e+05,5.220000000000000000e+02,4.151900000000000035e-01,4.889520000000000088e+00,2.405549999999999855e+00,2.415500000000000203e+00,5.296199999999999797e+00,1.367799999999999905e+00,-9.692000000000000615e-02,1.617350000000000065e+00,4.225999999999999722e-03,6.239999999999999714e-02,2.238300000000000012e-02,5.568819999999999659e+00,6.387044999999999639e+00,6.397800000000000362e-03,6.746199999999999940e-03,6.397800000000000362e-03,6.746199999999999940e-03,4.182000000000000300e-02,3.738999999999999879e+00
4.300000000000000000e+01,5.400000000000000000e+02,1.933000000000000114e+02,9.161000000000000227e+02,4.013000000000000114e+02,2.756650000000000000e+05,5.260000000000000000e+02,4.035500000000000198e-01,4.880659999999999776e+00,2.350290000000000212e+00,2.357619999999999827e+00,5.471799999999999997e+00,1.366400000000000059e+00,-9.334000000000000630e-02,1.602710000000000079e+00,4.540999999999999898e-03,6.840000000000000246e-02,2.484899999999999956e-02,5.568819999999999659e+00,6.387044999999999639e+00,6.397800000000000362e-03,6.746199999999999940e-03,6.397800000000000362e-03,6.746199999999999940e-03,4.182000000000000300e-02,3.738999999999999879e+00
