# X_IN,Y_IN,DY_over_DX,ANGLE,D2Y_over_DX2
1.810000000000000142e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.819999999999999929e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.830000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.839999999999999858e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.850000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.860000000000000142e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.869999999999999929e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.880000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.889999999999999858e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.900000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.910000000000000142e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.919999999999999929e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.930000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.939999999999999858e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.950000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.960000000000000142e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.969999999999999929e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.980000000000000071e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
1.989999999999999858e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
2.000000000000000000e+01,7.026289999999999480e-01,6.348962599999999866e-03,3.637638739999999871e-01,0.000000000000000000e+00
